sales_person,country,product,date,sales,boxes_shipped,year,year_month_period,year_month,month_name,month_num
Gunar Cockshoot,Canada,Fruit & Nut Bars,2024-03-24,14596.37,196,2024,2024-03,2024-03,March,3
Gunar Cockshoot,New Zealand,Spicy Special Slims,2024-06-28,7712.91,192,2024,2024-06,2024-06,June,6
Gunar Cockshoot,Australia,Drinking Coco,2024-01-14,2456.77,188,2024,2024-01,2024-01,January,1
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,2024-02-07,1435.27,138,2024,2024-02,2024-02,February,2
Dennison Crosswaite,New Zealand,Drinking Coco,2024-01-11,4324.48,202,2024,2024-01,2024-01,January,1
Jehu Rudeforth,India,99% Dark & Pure,2024-02-25,2207.76,247,2024,2024-02,2024-02,February,2
Dotty Strutley,Australia,Mint Chip Choco,2024-08-01,7571.51,26,2024,2024-08,2024-08,August,8
Roddy Speechley,Australia,Mint Chip Choco,2024-05-05,7189.76,262,2024,2024-05,2024-05,May,5
Madelene Upcott,New Zealand,Raspberry Choco,2024-05-18,10858.21,451,2024,2024-05,2024-05,May,5
Dotty Strutley,New Zealand,Choco Coated Almonds,2024-01-04,6524.65,369,2024,2024-01,2024-01,January,1
Roddy Speechley,New Zealand,50% Dark Bites,2024-05-09,4624.45,212,2024,2024-05,2024-05,May,5
Rafaelita Blaksland,India,Smooth Sliky Salty,2024-05-06,1961.82,80,2024,2024-05,2024-05,May,5
Husein Augar,UK,White Choc,2024-01-13,12782.63,158,2024,2024-01,2024-01,January,1
Roddy Speechley,Australia,Almond Choco,2024-06-24,4928.3,71,2024,2024-06,2024-06,June,6
Van Tuxwell,USA,Caramel Stuffed Bars,2024-02-14,1115.84,22,2024,2024-02,2024-02,February,2
Camilla Castle,Australia,99% Dark & Pure,2024-01-18,5346.62,109,2024,2024-01,2024-01,January,1
Kaine Padly,India,Milk Bars,2024-05-02,3168.11,93,2024,2024-05,2024-05,May,5
Ches Bonnell,Australia,Smooth Sliky Salty,2024-05-16,9007.92,52,2024,2024-05,2024-05,May,5
Mallorie Waber,USA,Almond Choco,2024-01-28,7400.07,383,2024,2024-01,2024-01,January,1
Kaine Padly,Canada,99% Dark & Pure,2024-06-24,1420.22,422,2024,2024-06,2024-06,June,6
Oby Sorrel,UK,After Nines,2024-07-18,2555.95,109,2024,2024-07,2024-07,July,7
Gunar Cockshoot,UK,Eclairs,2024-04-13,4059.65,175,2024,2024-04,2024-04,April,4
Dotty Strutley,USA,Caramel Stuffed Bars,2024-04-15,18581.37,83,2024,2024-04,2024-04,April,4
Jan Morforth,India,Peanut Butter Cubes,2024-01-04,8813.58,182,2024,2024-01,2024-01,January,1
Husein Augar,Australia,Eclairs,2024-07-04,7914.74,31,2024,2024-07,2024-07,July,7
Beverie Moffet,USA,Smooth Sliky Salty,2024-03-24,2787.72,342,2024,2024-03,2024-03,March,3
Camilla Castle,Australia,Manuka Honey Choco,2024-03-17,681.71,170,2024,2024-03,2024-03,March,3
Oby Sorrel,Australia,Almond Choco,2024-02-15,6827.53,241,2024,2024-02,2024-02,February,2
Jan Morforth,USA,Orange Choco,2024-06-29,1082.0,158,2024,2024-06,2024-06,June,6
Gigi Bohling,USA,Fruit & Nut Bars,2024-05-24,2966.98,121,2024,2024-05,2024-05,May,5
Mallorie Waber,UK,Milk Bars,2024-01-10,3951.74,287,2024,2024-01,2024-01,January,1
Curtice Advani,USA,Raspberry Choco,2024-03-15,3151.23,144,2024,2024-03,2024-03,March,3
Marney O'Breen,Canada,Milk Bars,2024-02-08,2672.67,317,2024,2024-02,2024-02,February,2
Brien Boise,India,Caramel Stuffed Bars,2024-02-25,1742.37,106,2024,2024-02,2024-02,February,2
Gunar Cockshoot,USA,Eclairs,2024-05-03,7301.31,42,2024,2024-05,2024-05,May,5
Roddy Speechley,USA,Fruit & Nut Bars,2024-06-14,6322.14,26,2024,2024-06,2024-06,June,6
Gunar Cockshoot,India,50% Dark Bites,2024-08-09,13731.44,82,2024,2024-08,2024-08,August,8
Wilone O'Kielt,New Zealand,Manuka Honey Choco,2024-07-11,4051.88,253,2024,2024-07,2024-07,July,7
Kaine Padly,UK,Manuka Honey Choco,2024-01-14,8474.69,115,2024,2024-01,2024-01,January,1
Van Tuxwell,Canada,Manuka Honey Choco,2024-02-24,9426.56,49,2024,2024-02,2024-02,February,2
Wilone O'Kielt,New Zealand,Almond Choco,2024-03-15,9770.28,154,2024,2024-03,2024-03,March,3
Oby Sorrel,New Zealand,Baker's Choco Chips,2024-04-25,14234.61,45,2024,2024-04,2024-04,April,4
Dennison Crosswaite,Australia,Organic Choco Syrup,2024-05-10,6885.01,40,2024,2024-05,2024-05,May,5
Marney O'Breen,Australia,Spicy Special Slims,2024-06-23,14687.62,293,2024,2024-06,2024-06,June,6
Beverie Moffet,Canada,Smooth Sliky Salty,2024-02-28,16585.43,388,2024,2024-02,2024-02,February,2
Brien Boise,USA,Organic Choco Syrup,2024-05-25,17415.67,148,2024,2024-05,2024-05,May,5
Roddy Speechley,New Zealand,Baker's Choco Chips,2024-02-22,5954.47,236,2024,2024-02,2024-02,February,2
Van Tuxwell,UK,85% Dark Bars,2024-07-11,4179.91,140,2024,2024-07,2024-07,July,7
Marney O'Breen,Canada,Spicy Special Slims,2024-01-03,3939.95,365,2024,2024-01,2024-01,January,1
Rafaelita Blaksland,New Zealand,70% Dark Bites,2024-08-24,791.19,280,2024,2024-08,2024-08,August,8
Beverie Moffet,USA,50% Dark Bites,2024-07-28,2941.65,360,2024,2024-07,2024-07,July,7
Brien Boise,USA,Mint Chip Choco,2024-05-25,12476.68,162,2024,2024-05,2024-05,May,5
Karlen McCaffrey,New Zealand,Eclairs,2024-05-06,2817.14,191,2024,2024-05,2024-05,May,5
Barr Faughny,India,Drinking Coco,2024-01-28,2411.52,144,2024,2024-01,2024-01,January,1
Marney O'Breen,UK,Orange Choco,2024-06-06,13072.74,11,2024,2024-06,2024-06,June,6
Brien Boise,New Zealand,Baker's Choco Chips,2024-07-12,6790.41,26,2024,2024-07,2024-07,July,7
Ches Bonnell,Canada,Spicy Special Slims,2024-08-05,6092.47,201,2024,2024-08,2024-08,August,8
Brien Boise,USA,Orange Choco,2024-01-28,7185.5,152,2024,2024-01,2024-01,January,1
Kaine Padly,India,Spicy Special Slims,2024-08-31,6170.8,138,2024,2024-08,2024-08,August,8
Mallorie Waber,USA,50% Dark Bites,2024-04-19,1945.05,14,2024,2024-04,2024-04,April,4
Mallorie Waber,UK,Mint Chip Choco,2024-06-29,6767.42,2,2024,2024-06,2024-06,June,6
Beverie Moffet,India,Choco Coated Almonds,2024-02-24,3911.69,254,2024,2024-02,2024-02,February,2
Madelene Upcott,UK,Smooth Sliky Salty,2024-03-04,16733.76,88,2024,2024-03,2024-03,March,3
Gigi Bohling,India,Eclairs,2024-06-21,3916.92,74,2024,2024-06,2024-06,June,6
Rafaelita Blaksland,Australia,Organic Choco Syrup,2024-01-26,1082.69,106,2024,2024-01,2024-01,January,1
Oby Sorrel,New Zealand,White Choc,2024-06-10,4822.33,42,2024,2024-06,2024-06,June,6
Andria Kimpton,UK,Drinking Coco,2024-05-23,1827.45,66,2024,2024-05,2024-05,May,5
Kelci Walkden,India,Milk Bars,2024-04-15,1142.41,111,2024,2024-04,2024-04,April,4
Karlen McCaffrey,New Zealand,Caramel Stuffed Bars,2024-01-31,6290.89,232,2024,2024-01,2024-01,January,1
Andria Kimpton,New Zealand,Organic Choco Syrup,2024-03-04,5616.01,43,2024,2024-03,2024-03,March,3
Barr Faughny,New Zealand,After Nines,2024-04-19,11250.69,91,2024,2024-04,2024-04,April,4
Beverie Moffet,UK,Almond Choco,2024-05-16,2799.42,104,2024,2024-05,2024-05,May,5
Oby Sorrel,Australia,Raspberry Choco,2024-02-17,1157.88,114,2024,2024-02,2024-02,February,2
Dennison Crosswaite,USA,Raspberry Choco,2024-01-18,7049.32,273,2024,2024-01,2024-01,January,1
Roddy Speechley,Canada,Orange Choco,2024-02-09,9460.5,84,2024,2024-02,2024-02,February,2
Mallorie Waber,Canada,Orange Choco,2024-03-23,4173.73,175,2024,2024-03,2024-03,March,3
Madelene Upcott,New Zealand,Caramel Stuffed Bars,2024-02-01,4005.08,150,2024,2024-02,2024-02,February,2
Mallorie Waber,India,Drinking Coco,2024-03-07,4650.58,143,2024,2024-03,2024-03,March,3
Ches Bonnell,UK,White Choc,2024-01-03,3814.56,220,2024,2024-01,2024-01,January,1
Ches Bonnell,USA,White Choc,2024-02-11,6321.35,325,2024,2024-02,2024-02,February,2
Dennison Crosswaite,New Zealand,Orange Choco,2024-03-16,5245.53,144,2024,2024-03,2024-03,March,3
Dotty Strutley,India,White Choc,2024-08-15,12998.67,317,2024,2024-08,2024-08,August,8
Gigi Bohling,India,Manuka Honey Choco,2024-05-12,5932.12,79,2024,2024-05,2024-05,May,5
Van Tuxwell,India,Spicy Special Slims,2024-04-11,6811.55,4,2024,2024-04,2024-04,April,4
Jan Morforth,New Zealand,Mint Chip Choco,2024-06-30,21381.14,311,2024,2024-06,2024-06,June,6
Dotty Strutley,New Zealand,White Choc,2024-06-15,8423.36,63,2024,2024-06,2024-06,June,6
Rafaelita Blaksland,Canada,Caramel Stuffed Bars,2024-08-01,7951.43,109,2024,2024-08,2024-08,August,8
Kaine Padly,USA,Milk Bars,2024-06-15,18389.1,62,2024,2024-06,2024-06,June,6
Brien Boise,India,After Nines,2024-06-16,6555.46,45,2024,2024-06,2024-06,June,6
Oby Sorrel,New Zealand,Raspberry Choco,2024-05-13,5129.71,270,2024,2024-05,2024-05,May,5
Dennison Crosswaite,USA,Drinking Coco,2024-05-10,2399.02,149,2024,2024-05,2024-05,May,5
Oby Sorrel,India,Eclairs,2024-08-25,6096.53,344,2024,2024-08,2024-08,August,8
Ches Bonnell,New Zealand,Organic Choco Syrup,2024-07-15,8134.67,83,2024,2024-07,2024-07,July,7
Gigi Bohling,UK,Baker's Choco Chips,2024-05-16,9969.65,449,2024,2024-05,2024-05,May,5
Jan Morforth,Australia,50% Dark Bites,2024-06-14,3894.16,173,2024,2024-06,2024-06,June,6
Beverie Moffet,Australia,Smooth Sliky Salty,2024-01-25,11533.35,491,2024,2024-01,2024-01,January,1
Ches Bonnell,USA,Organic Choco Syrup,2024-07-28,8754.31,14,2024,2024-07,2024-07,July,7
Brien Boise,Canada,Mint Chip Choco,2024-01-28,5475.65,194,2024,2024-01,2024-01,January,1
Kaine Padly,UK,Orange Choco,2024-06-29,2252.94,196,2024,2024-06,2024-06,June,6
Karlen McCaffrey,Australia,70% Dark Bites,2024-06-24,278.78,332,2024,2024-06,2024-06,June,6
Gunar Cockshoot,Canada,Mint Chip Choco,2024-07-01,8936.91,442,2024,2024-07,2024-07,July,7
Roddy Speechley,USA,Peanut Butter Cubes,2024-02-25,2010.22,144,2024,2024-02,2024-02,February,2
Curtice Advani,Canada,Smooth Sliky Salty,2024-08-01,2901.91,12,2024,2024-08,2024-08,August,8
Oby Sorrel,Australia,Milk Bars,2024-06-21,9231.31,278,2024,2024-06,2024-06,June,6
Camilla Castle,New Zealand,Spicy Special Slims,2024-01-25,12744.67,26,2024,2024-01,2024-01,January,1
Gigi Bohling,UK,Milk Bars,2024-05-17,1436.97,248,2024,2024-05,2024-05,May,5
Andria Kimpton,Australia,85% Dark Bars,2024-08-23,4900.32,254,2024,2024-08,2024-08,August,8
Camilla Castle,Australia,Smooth Sliky Salty,2024-03-03,8263.11,129,2024,2024-03,2024-03,March,3
Roddy Speechley,India,Caramel Stuffed Bars,2024-05-30,10139.68,552,2024,2024-05,2024-05,May,5
Karlen McCaffrey,USA,Drinking Coco,2024-06-29,132.68,243,2024,2024-06,2024-06,June,6
Andria Kimpton,Canada,Organic Choco Syrup,2024-01-04,9479.63,217,2024,2024-01,2024-01,January,1
Jehu Rudeforth,Australia,Drinking Coco,2024-01-14,3114.84,65,2024,2024-01,2024-01,January,1
Karlen McCaffrey,USA,Mint Chip Choco,2024-02-15,17866.48,58,2024,2024-02,2024-02,February,2
Curtice Advani,New Zealand,Spicy Special Slims,2024-01-10,4651.03,494,2024,2024-01,2024-01,January,1
Madelene Upcott,USA,White Choc,2024-05-04,14360.42,218,2024,2024-05,2024-05,May,5
Andria Kimpton,USA,Spicy Special Slims,2024-05-23,2595.52,5,2024,2024-05,2024-05,May,5
Barr Faughny,New Zealand,Fruit & Nut Bars,2024-04-26,1853.03,153,2024,2024-04,2024-04,April,4
Oby Sorrel,Canada,Organic Choco Syrup,2024-07-05,1392.99,70,2024,2024-07,2024-07,July,7
Madelene Upcott,UK,Organic Choco Syrup,2024-07-21,7943.17,174,2024,2024-07,2024-07,July,7
Dotty Strutley,USA,Mint Chip Choco,2024-02-21,5552.79,272,2024,2024-02,2024-02,February,2
Kelci Walkden,USA,Orange Choco,2024-02-03,1539.14,143,2024,2024-02,2024-02,February,2
Gigi Bohling,Australia,Caramel Stuffed Bars,2024-07-08,9117.77,154,2024,2024-07,2024-07,July,7
Mallorie Waber,India,50% Dark Bites,2024-05-31,631.02,140,2024,2024-05,2024-05,May,5
Van Tuxwell,New Zealand,Mint Chip Choco,2024-06-27,4486.37,104,2024,2024-06,2024-06,June,6
Van Tuxwell,India,50% Dark Bites,2024-05-13,5591.29,132,2024,2024-05,2024-05,May,5
Van Tuxwell,USA,Manuka Honey Choco,2024-05-31,2662.54,102,2024,2024-05,2024-05,May,5
Wilone O'Kielt,USA,Orange Choco,2024-02-28,7481.93,38,2024,2024-02,2024-02,February,2
Barr Faughny,New Zealand,Eclairs,2024-03-28,7418.41,31,2024,2024-03,2024-03,March,3
Gigi Bohling,USA,After Nines,2024-01-14,1969.06,235,2024,2024-01,2024-01,January,1
Barr Faughny,New Zealand,Mint Chip Choco,2024-02-21,7197.75,159,2024,2024-02,2024-02,February,2
Dennison Crosswaite,Canada,85% Dark Bars,2024-08-01,11719.06,87,2024,2024-08,2024-08,August,8
Beverie Moffet,New Zealand,Smooth Sliky Salty,2024-05-19,2755.14,63,2024,2024-05,2024-05,May,5
Husein Augar,USA,White Choc,2024-07-13,2438.56,61,2024,2024-07,2024-07,July,7
Andria Kimpton,Australia,Peanut Butter Cubes,2024-04-20,7661.86,144,2024,2024-04,2024-04,April,4
Dennison Crosswaite,India,85% Dark Bars,2024-06-30,4886.15,23,2024,2024-06,2024-06,June,6
Curtice Advani,UK,50% Dark Bites,2024-03-08,3572.26,156,2024,2024-03,2024-03,March,3
Gunar Cockshoot,USA,Fruit & Nut Bars,2024-03-09,6937.75,94,2024,2024-03,2024-03,March,3
Oby Sorrel,Canada,Raspberry Choco,2024-06-16,1941.25,221,2024,2024-06,2024-06,June,6
Gigi Bohling,UK,Drinking Coco,2024-06-30,6173.15,46,2024,2024-06,2024-06,June,6
Kelci Walkden,India,Mint Chip Choco,2024-07-28,3105.45,116,2024,2024-07,2024-07,July,7
Karlen McCaffrey,Canada,Peanut Butter Cubes,2024-08-12,3691.6,154,2024,2024-08,2024-08,August,8
Barr Faughny,UK,Mint Chip Choco,2024-07-07,3950.65,324,2024,2024-07,2024-07,July,7
Barr Faughny,USA,85% Dark Bars,2024-08-25,13497.17,49,2024,2024-08,2024-08,August,8
Husein Augar,Canada,Eclairs,2024-01-17,4389.23,241,2024,2024-01,2024-01,January,1
Jan Morforth,Australia,70% Dark Bites,2024-03-04,6310.98,366,2024,2024-03,2024-03,March,3
Marney O'Breen,New Zealand,Fruit & Nut Bars,2024-08-25,9693.37,4,2024,2024-08,2024-08,August,8
Ches Bonnell,UK,Peanut Butter Cubes,2024-04-15,2348.2,266,2024,2024-04,2024-04,April,4
Kaine Padly,USA,Organic Choco Syrup,2024-03-11,2518.5,24,2024,2024-03,2024-03,March,3
Camilla Castle,USA,Raspberry Choco,2024-05-20,3516.72,17,2024,2024-05,2024-05,May,5
Brien Boise,New Zealand,Manuka Honey Choco,2024-06-14,16807.37,44,2024,2024-06,2024-06,June,6
Jehu Rudeforth,New Zealand,After Nines,2024-04-14,1736.59,70,2024,2024-04,2024-04,April,4
Jehu Rudeforth,USA,Smooth Sliky Salty,2024-07-07,7900.11,168,2024,2024-07,2024-07,July,7
Madelene Upcott,India,Mint Chip Choco,2024-08-24,4016.89,71,2024,2024-08,2024-08,August,8
Jehu Rudeforth,India,Eclairs,2024-02-24,9642.62,140,2024,2024-02,2024-02,February,2
Karlen McCaffrey,Canada,Raspberry Choco,2024-05-09,773.7,217,2024,2024-05,2024-05,May,5
Kaine Padly,Australia,70% Dark Bites,2024-02-08,7852.03,240,2024,2024-02,2024-02,February,2
Roddy Speechley,UK,70% Dark Bites,2024-03-24,1649.57,293,2024,2024-03,2024-03,March,3
Rafaelita Blaksland,USA,Drinking Coco,2024-06-20,9333.45,78,2024,2024-06,2024-06,June,6
Mallorie Waber,Canada,Manuka Honey Choco,2024-03-07,1540.11,117,2024,2024-03,2024-03,March,3
Kaine Padly,Australia,Fruit & Nut Bars,2024-06-20,7840.94,82,2024,2024-06,2024-06,June,6
Oby Sorrel,New Zealand,Organic Choco Syrup,2024-02-17,17102.97,267,2024,2024-02,2024-02,February,2
Madelene Upcott,UK,99% Dark & Pure,2024-01-26,11496.42,49,2024,2024-01,2024-01,January,1
Madelene Upcott,Australia,Mint Chip Choco,2024-05-02,3072.89,166,2024,2024-05,2024-05,May,5
Curtice Advani,Canada,99% Dark & Pure,2024-07-07,14990.79,7,2024,2024-07,2024-07,July,7
Rafaelita Blaksland,Australia,Baker's Choco Chips,2024-08-22,3170.18,49,2024,2024-08,2024-08,August,8
Karlen McCaffrey,Australia,After Nines,2024-08-11,2528.14,67,2024,2024-08,2024-08,August,8
Marney O'Breen,UK,99% Dark & Pure,2024-01-13,8551.6,208,2024,2024-01,2024-01,January,1
Gunar Cockshoot,Australia,50% Dark Bites,2024-03-02,13072.95,119,2024,2024-03,2024-03,March,3
Marney O'Breen,Australia,Choco Coated Almonds,2024-07-27,11987.26,41,2024,2024-07,2024-07,July,7
Kelci Walkden,New Zealand,Drinking Coco,2024-03-10,18385.44,116,2024,2024-03,2024-03,March,3
Beverie Moffet,USA,85% Dark Bars,2024-08-23,14028.4,344,2024,2024-08,2024-08,August,8
Roddy Speechley,USA,Eclairs,2024-04-25,4812.71,169,2024,2024-04,2024-04,April,4
Dennison Crosswaite,UK,Milk Bars,2024-03-07,11963.91,446,2024,2024-03,2024-03,March,3
Wilone O'Kielt,UK,Organic Choco Syrup,2024-07-12,5574.83,52,2024,2024-07,2024-07,July,7
Madelene Upcott,USA,Orange Choco,2024-05-16,9205.15,144,2024,2024-05,2024-05,May,5
Gunar Cockshoot,India,Smooth Sliky Salty,2024-03-02,4133.74,69,2024,2024-03,2024-03,March,3
Marney O'Breen,New Zealand,85% Dark Bars,2024-05-30,1312.23,164,2024,2024-05,2024-05,May,5
Marney O'Breen,UK,Manuka Honey Choco,2024-06-10,11735.75,185,2024,2024-06,2024-06,June,6
Brien Boise,USA,99% Dark & Pure,2024-07-25,7650.76,358,2024,2024-07,2024-07,July,7
Beverie Moffet,New Zealand,Mint Chip Choco,2024-06-09,4994.93,98,2024,2024-06,2024-06,June,6
Dennison Crosswaite,USA,Milk Bars,2024-05-12,890.78,62,2024,2024-05,2024-05,May,5
Gunar Cockshoot,USA,Drinking Coco,2024-05-09,4142.16,5,2024,2024-05,2024-05,May,5
Brien Boise,Canada,Manuka Honey Choco,2024-08-09,7308.24,178,2024,2024-08,2024-08,August,8
Van Tuxwell,India,Choco Coated Almonds,2024-04-13,6833.86,115,2024,2024-04,2024-04,April,4
Andria Kimpton,USA,Caramel Stuffed Bars,2024-05-02,8878.27,47,2024,2024-05,2024-05,May,5
Dotty Strutley,USA,99% Dark & Pure,2024-08-09,4134.93,307,2024,2024-08,2024-08,August,8
Camilla Castle,Australia,Raspberry Choco,2024-08-23,6641.89,188,2024,2024-08,2024-08,August,8
Gunar Cockshoot,India,Spicy Special Slims,2024-05-13,7117.3,174,2024,2024-05,2024-05,May,5
Karlen McCaffrey,USA,Manuka Honey Choco,2024-02-01,11815.59,68,2024,2024-02,2024-02,February,2
Camilla Castle,USA,50% Dark Bites,2024-06-23,6962.79,303,2024,2024-06,2024-06,June,6
Madelene Upcott,UK,Choco Coated Almonds,2024-05-24,11786.42,147,2024,2024-05,2024-05,May,5
Jan Morforth,Canada,Mint Chip Choco,2024-04-01,1200.19,224,2024,2024-04,2024-04,April,4
Camilla Castle,Canada,70% Dark Bites,2024-07-27,10791.08,166,2024,2024-07,2024-07,July,7
Ches Bonnell,India,Peanut Butter Cubes,2024-01-27,26170.95,224,2024,2024-01,2024-01,January,1
Jan Morforth,India,Choco Coated Almonds,2024-08-12,2987.81,136,2024,2024-08,2024-08,August,8
Gigi Bohling,Canada,Almond Choco,2024-02-01,11705.99,47,2024,2024-02,2024-02,February,2
Rafaelita Blaksland,India,After Nines,2024-03-02,5256.03,201,2024,2024-03,2024-03,March,3
Kelci Walkden,Australia,99% Dark & Pure,2024-06-30,3794.1,36,2024,2024-06,2024-06,June,6
Dotty Strutley,Australia,Spicy Special Slims,2024-01-17,9655.3,97,2024,2024-01,2024-01,January,1
Brien Boise,USA,Milk Bars,2024-07-07,16001.54,133,2024,2024-07,2024-07,July,7
Mallorie Waber,New Zealand,Mint Chip Choco,2024-01-31,1386.1,104,2024,2024-01,2024-01,January,1
Beverie Moffet,UK,99% Dark & Pure,2024-08-10,3821.76,122,2024,2024-08,2024-08,August,8
Beverie Moffet,USA,Peanut Butter Cubes,2024-08-18,15722.43,351,2024,2024-08,2024-08,August,8
Brien Boise,New Zealand,White Choc,2024-06-15,6287.25,340,2024,2024-06,2024-06,June,6
Marney O'Breen,USA,Baker's Choco Chips,2024-01-26,9831.97,9,2024,2024-01,2024-01,January,1
Kelci Walkden,USA,Spicy Special Slims,2024-04-29,90.36,73,2024,2024-04,2024-04,April,4
Mallorie Waber,Canada,White Choc,2024-03-03,3799.5,71,2024,2024-03,2024-03,March,3
Kaine Padly,Australia,Almond Choco,2024-02-22,4674.2,422,2024,2024-02,2024-02,February,2
Oby Sorrel,USA,Smooth Sliky Salty,2024-03-04,4011.83,169,2024,2024-03,2024-03,March,3
Dennison Crosswaite,India,Smooth Sliky Salty,2024-07-07,3429.85,9,2024,2024-07,2024-07,July,7
Camilla Castle,New Zealand,Caramel Stuffed Bars,2024-06-17,4920.68,380,2024,2024-06,2024-06,June,6
Jan Morforth,Canada,Caramel Stuffed Bars,2024-08-02,10049.72,118,2024,2024-08,2024-08,August,8
Oby Sorrel,USA,Baker's Choco Chips,2024-08-12,8485.1,120,2024,2024-08,2024-08,August,8
Madelene Upcott,New Zealand,Peanut Butter Cubes,2024-01-28,6030.31,351,2024,2024-01,2024-01,January,1
Kelci Walkden,Australia,Orange Choco,2024-04-29,13331.77,443,2024,2024-04,2024-04,April,4
Marney O'Breen,Australia,Manuka Honey Choco,2024-04-05,15245.95,233,2024,2024-04,2024-04,April,4
Kaine Padly,Canada,Manuka Honey Choco,2024-01-18,11618.55,133,2024,2024-01,2024-01,January,1
Jehu Rudeforth,UK,Baker's Choco Chips,2024-05-16,2629.59,98,2024,2024-05,2024-05,May,5
Kelci Walkden,Australia,White Choc,2024-08-24,10089.49,168,2024,2024-08,2024-08,August,8
Curtice Advani,India,85% Dark Bars,2024-01-18,308.24,402,2024,2024-01,2024-01,January,1
Kaine Padly,USA,Eclairs,2024-08-22,7978.76,10,2024,2024-08,2024-08,August,8
Gunar Cockshoot,UK,99% Dark & Pure,2024-03-07,8.16,84,2024,2024-03,2024-03,March,3
Beverie Moffet,UK,Choco Coated Almonds,2024-03-04,3303.13,73,2024,2024-03,2024-03,March,3
Dotty Strutley,Canada,Manuka Honey Choco,2024-04-22,13959.74,113,2024,2024-04,2024-04,April,4
Kaine Padly,Australia,Milk Bars,2024-06-09,4251.42,91,2024,2024-06,2024-06,June,6
Jan Morforth,Canada,Fruit & Nut Bars,2024-07-25,9885.53,217,2024,2024-07,2024-07,July,7
Jan Morforth,India,Smooth Sliky Salty,2024-08-03,12864.47,93,2024,2024-08,2024-08,August,8
Rafaelita Blaksland,Australia,Manuka Honey Choco,2024-08-03,5245.6,144,2024,2024-08,2024-08,August,8
Jehu Rudeforth,UK,Milk Bars,2024-05-03,14345.5,219,2024,2024-05,2024-05,May,5
Husein Augar,Canada,After Nines,2024-01-19,11462.19,288,2024,2024-01,2024-01,January,1
Roddy Speechley,USA,50% Dark Bites,2024-02-11,11667.94,306,2024,2024-02,2024-02,February,2
Van Tuxwell,India,Almond Choco,2024-06-14,7455.17,383,2024,2024-06,2024-06,June,6
Kelci Walkden,USA,50% Dark Bites,2024-03-23,7203.64,234,2024,2024-03,2024-03,March,3
Madelene Upcott,Canada,85% Dark Bars,2024-02-17,8081.58,105,2024,2024-02,2024-02,February,2
Dennison Crosswaite,Canada,Smooth Sliky Salty,2024-03-17,2055.4,485,2024,2024-03,2024-03,March,3
Mallorie Waber,Australia,Spicy Special Slims,2024-06-29,6476.09,304,2024,2024-06,2024-06,June,6
Ches Bonnell,Canada,Choco Coated Almonds,2024-08-24,17490.08,289,2024,2024-08,2024-08,August,8
Gigi Bohling,Canada,Spicy Special Slims,2024-07-04,13644.0,281,2024,2024-07,2024-07,July,7
Roddy Speechley,New Zealand,Almond Choco,2024-03-28,2930.46,70,2024,2024-03,2024-03,March,3
Curtice Advani,India,Smooth Sliky Salty,2024-04-19,22717.09,143,2024,2024-04,2024-04,April,4
Ches Bonnell,New Zealand,Mint Chip Choco,2024-01-18,9471.72,248,2024,2024-01,2024-01,January,1
Van Tuxwell,New Zealand,Fruit & Nut Bars,2024-01-17,3400.47,92,2024,2024-01,2024-01,January,1
Andria Kimpton,New Zealand,Mint Chip Choco,2024-02-15,10696.21,201,2024,2024-02,2024-02,February,2
Andria Kimpton,UK,Milk Bars,2024-02-11,17101.67,307,2024,2024-02,2024-02,February,2
Camilla Castle,USA,Manuka Honey Choco,2024-03-21,18936.88,180,2024,2024-03,2024-03,March,3
Gunar Cockshoot,New Zealand,Almond Choco,2024-01-05,6015.37,136,2024,2024-01,2024-01,January,1
Brien Boise,India,Raspberry Choco,2024-05-30,7623.58,162,2024,2024-05,2024-05,May,5
Jehu Rudeforth,USA,99% Dark & Pure,2024-01-04,2996.83,227,2024,2024-01,2024-01,January,1
Beverie Moffet,Australia,Fruit & Nut Bars,2024-04-22,1718.97,260,2024,2024-04,2024-04,April,4
Gigi Bohling,Canada,Milk Bars,2024-02-10,3523.33,114,2024,2024-02,2024-02,February,2
Dotty Strutley,India,Spicy Special Slims,2024-08-12,1092.36,209,2024,2024-08,2024-08,August,8
Gunar Cockshoot,USA,Organic Choco Syrup,2024-08-10,2495.71,310,2024,2024-08,2024-08,August,8
Kelci Walkden,Australia,Raspberry Choco,2024-06-07,813.41,58,2024,2024-06,2024-06,June,6
Jehu Rudeforth,India,Baker's Choco Chips,2024-06-06,2489.06,81,2024,2024-06,2024-06,June,6
Karlen McCaffrey,New Zealand,Baker's Choco Chips,2024-04-05,5701.35,201,2024,2024-04,2024-04,April,4
Wilone O'Kielt,USA,50% Dark Bites,2024-04-18,5084.32,126,2024,2024-04,2024-04,April,4
Andria Kimpton,India,50% Dark Bites,2024-01-31,15789.48,16,2024,2024-01,2024-01,January,1
Madelene Upcott,USA,Baker's Choco Chips,2024-08-22,6541.75,141,2024,2024-08,2024-08,August,8
Jehu Rudeforth,Australia,99% Dark & Pure,2024-02-25,11409.11,217,2024,2024-02,2024-02,February,2
Jan Morforth,Australia,Mint Chip Choco,2024-02-22,19258.41,99,2024,2024-02,2024-02,February,2
Oby Sorrel,New Zealand,Milk Bars,2024-01-12,5074.86,201,2024,2024-01,2024-01,January,1
Brien Boise,UK,Almond Choco,2024-05-25,115.9,120,2024,2024-05,2024-05,May,5
